model,run,method,max_order,base_threshold,decay_rate,min_taylor_steps,max_taylor_steps,sample_count,elapsed_seconds,images_per_second,speedup_vs_full,fid,delta_fid,sfid,delta_sfid,inception_score,delta_inception_score,precision,delta_precision,recall,delta_recall,aggregate_mse,psnr_from_aggregate_mse,mean_per_image_psnr,median_per_image_psnr,mean_ssim,median_ssim,mean_lpips,median_lpips,exact_pair_count,nan_psnr,nan_ssim,nan_lpips,inf_psnr,inf_ssim,inf_lpips
PixelGen,order3,speca,3,0.3,0.05,3,8,1000,401.056244138,2.4934158602849443,2.728731982498282,38.39819538169701,-0.05574835876797124,203.45690608116217,0.5296933612056591,288.3270568847656,8.45672607421875,0.812,0.0040000000000000036,0.8247,-0.00029999999999996696,0.00429737853036055,23.667963902289706,26.82556713041152,26.057863880983223,0.881569782614708,0.9117726385593414,0.15568474582582711,0.11583229899406433,0,0,0,0,0,0,0
PixelGen,threshold0p1,speca,4,0.1,0.05,3,8,1000,413.376649135,2.419101325855059,2.647404013869686,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,threshold0p2,speca,4,0.2,0.05,3,8,1000,412.003011948,2.4271667220874895,2.6562305818728427,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,threshold0p4,speca,4,0.4,0.05,3,8,1000,407.754262014,2.452457504823495,2.6839081822336053,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,decay0p01,speca,4,0.3,0.01,3,8,1000,412.155231313,2.4262703079475836,2.65524956864834,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,decay0p1,speca,4,0.3,0.1,3,8,1000,413.386534466,2.41904347777503,2.6473407063770953,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,minstep2,speca,4,0.3,0.05,2,8,1000,464.5597938,2.1525754345209545,2.3557247414982814,38.233385741747384,-0.22055799871759518,202.68165256369855,-0.2455601562579659,292.5202941894531,12.64996337890625,0.83,0.02199999999999991,0.8269,0.0019000000000000128,0.0040369692854427385,23.939445548288425,26.257106626348452,25.91756627009445,0.8789773551821709,0.9068985879421234,0.1579068973993417,0.11925918236374855,0,0,0,0,0,0,0
PixelGen,minstep4,speca,4,0.3,0.05,4,8,1000,379.487070255,2.635135893636746,2.8838268440203354,38.24379279863126,-0.2101509418337173,201.81807469210344,-1.1091380278530778,281.6171875,1.746856689453125,0.81,0.0020000000000000018,0.8226,-0.0023999999999999577,0.005407691198504833,22.669881163664243,25.18191435835356,24.648221368208098,0.8586871757209301,0.8821013867855072,0.18476904469775035,0.15385479480028152,0,0,0,0,0,0,0
PixelGen,maxstep5,speca,4,0.3,0.05,3,5,1000,416.860385178,2.3988846999049778,2.6252794438423313,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,maxstep10,speca,4,0.3,0.05,3,10,1000,411.457498686,2.4303846768950024,2.6597522311658297,38.41811574816484,-0.035827992300141887,203.3254791927037,0.3982664727471956,286.23065185546875,6.360321044921875,0.812,0.0040000000000000036,0.8224,-0.0025999999999999357,0.004337812376859933,23.62729236428923,26.80552423589446,26.139311667213057,0.881259869068861,0.9113649725914001,0.15612738179136068,0.11675630882382393,0,0,0,0,0,0,0
